acousticness,added_at,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,name,popularity,preview_url,speechiness,tempo,time_signature,track_img,valence
0.848,12/1/16,Beirut,0.17,348893,0.628,0.0429,8,0.0628,-8.731,Elephant Gun,28,https://p.scdn.co/mp3-preview/0274c0d539a79142016c5bdc14950c15161b8180?cid=930456c642564135939390fde3dd06bf,0.0499,179.937,3,https://i.scdn.co/image/836746661faefc900c7690033e77f2e39c171199,0.475
0.0653,12/1/16,The Cardigans,0.638,196573,0.583,2.19E-06,9,0.152,-7.715,Lovefool,43,https://p.scdn.co/mp3-preview/10cb3b1bfb6fd860ce8881e9694f1233b2d65e2a?cid=930456c642564135939390fde3dd06bf,0.0278,111.84,4,https://i.scdn.co/image/868dd456658fb0231b3ddbc83c5a847473c2b226,0.933
0.00874,12/1/16,Arctic Monkeys,0.283,197027,0.718,1.61E-06,9,0.335,-5.805,Cornerstone,51,,0.0395,169.777,4,https://i.scdn.co/image/ab28cdf914d22da1419550215d96ad9cc4d636bf,0.724
0.00178,12/1/16,Arctic Monkeys,0.646,173493,0.813,2.26E-05,6,0.144,-5.29,Fluorescent Adolescent,63,https://p.scdn.co/mp3-preview/15d133bcf82fa91cfb81c8b53a2810add8529da2?cid=930456c642564135939390fde3dd06bf,0.0288,112.115,4,https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,0.834
0.162,12/1/16,Aeroplane,0.737,243293,0.633,0.0398,9,0.0858,-8.88,Let's Get Slow,43,https://p.scdn.co/mp3-preview/582655d06bb57043524a85b8099fd22b1476c699?cid=930456c642564135939390fde3dd06bf,0.18,120.042,4,https://i.scdn.co/image/65487e9a1521dd7df4e9ece723a9dd1139c1f91b,0.727
0.778,11/30/16,Generationals,0.908,296787,0.87,0.262,0,0.0933,-6.666,You Got Me,47,https://p.scdn.co/mp3-preview/092d1b37ca7e34b9c1b1fe5b4df420496f9783af?cid=930456c642564135939390fde3dd06bf,0.204,157.035,4,https://i.scdn.co/image/6accf11498f7a470a010586dd27fc07e2f29e9c2,0.801
0.164,11/30/16,Vacationer,0.449,246410,0.607,1.29E-05,0,0.117,-7.924,Glimpse,30,https://p.scdn.co/mp3-preview/a603f01f57a325eb6bb4911f091302eb66d0bcfd?cid=930456c642564135939390fde3dd06bf,0.0403,91.008,4,https://i.scdn.co/image/2f5da62ff4c9d7ca3740f6f1a5d8f486f8bd9106,0.288
0.108,11/30/16,Vacationer,0.511,204032,0.775,0.000461,8,0.152,-4.565,Good As New,48,https://p.scdn.co/mp3-preview/783e55a80308a7d0f5fa917b2afbc615c03c0b15?cid=930456c642564135939390fde3dd06bf,0.0594,94.998,4,https://i.scdn.co/image/313f449be29972a4930dc89c664da8184f405b6c,0.633
0.0384,11/30/16,Vacationer,0.574,217069,0.722,0.00109,0,0.496,-7.152,Summer End,24,https://p.scdn.co/mp3-preview/5e9163a9d07e5e0c2f55d746dc9835acff5baeaa?cid=930456c642564135939390fde3dd06bf,0.0425,123.282,4,https://i.scdn.co/image/313f449be29972a4930dc89c664da8184f405b6c,0.375
0.157,11/30/16,Vacationer,0.758,198254,0.772,0.109,9,0.215,-7.017,Everyone Knows,38,https://p.scdn.co/mp3-preview/5949181782b2facd03d1013d973182a9a408c39c?cid=930456c642564135939390fde3dd06bf,0.0317,91.007,4,https://i.scdn.co/image/313f449be29972a4930dc89c664da8184f405b6c,0.83
